Weight,Temp_Bottom,Temp_Middle,Temp_Top,Current,Voltage,Energy_Q
756.65,26.50,125.00,125.00,0.00,0.00,0.000
756.51,26.60,125.00,125.00,0.00,0.00,0.000
756.54,26.70,125.00,125.00,0.00,0.00,0.000
756.54,26.80,125.00,125.00,0.00,0.00,0.000
756.48,26.80,125.00,125.00,0.00,0.00,0.000
756.33,26.80,125.00,125.00,0.00,0.00,0.000
756.38,26.80,125.00,125.00,0.00,0.00,0.000
756.11,26.80,125.00,125.00,0.00,0.00,0.000
756.11,26.80,125.00,125.00,0.00,0.00,0.000
756.10,26.70,125.00,125.00,0.00,0.00,0.000
756.10,26.60,125.00,125.00,0.00,0.00,0.000
756.13,26.50,125.00,125.00,0.00,0.00,0.000
756.19,26.50,125.00,125.00,0.00,0.00,0.000
756.06,26.40,125.00,125.00,0.00,0.00,0.000
756.04,26.40,125.00,125.00,0.00,0.00,0.000
756.44,26.30,125.00,125.00,0.00,0.00,0.000
756.10,26.30,125.00,125.00,0.00,0.00,0.000
756.13,26.40,125.00,125.00,0.00,0.00,0.000
756.16,26.40,125.00,125.00,0.00,0.00,0.000
756.14,26.40,125.00,125.00,0.00,0.00,0.000
756.09,26.30,125.00,125.00,0.00,0.00,0.000
755.97,26.20,125.00,125.00,0.00,0.00,0.000
755.91,26.10,125.00,125.00,0.00,0.00,0.000
755.98,26.10,125.00,125.00,0.00,0.00,0.000
755.91,26.00,125.00,125.00,0.00,0.00,0.000
755.76,25.90,125.00,125.00,0.00,0.00,0.000
755.75,25.90,125.00,125.00,0.00,0.00,0.000
755.69,25.80,125.00,125.00,0.00,0.00,0.000
755.67,25.80,125.00,125.00,0.00,0.00,0.000
755.39,25.80,125.00,125.00,0.00,0.00,0.000
756.24,25.80,125.00,125.00,0.00,0.00,0.000
756.40,25.90,125.00,125.00,0.00,0.00,0.000
756.36,25.90,125.00,125.00,0.00,0.00,0.000
755.99,25.90,125.00,125.00,0.00,0.00,0.000
755.45,25.90,125.00,125.00,0.00,0.00,0.000
755.52,26.00,125.00,125.00,0.00,0.00,0.000
754.46,26.10,125.00,125.00,0.00,0.00,0.000
754.56,26.20,125.00,125.00,0.00,0.00,0.000
754.62,26.30,125.00,125.00,0.00,0.00,0.000
754.78,26.40,125.00,125.00,0.00,0.00,0.000
754.56,26.60,125.00,125.00,0.00,0.00,0.000
754.64,26.70,125.00,125.00,0.00,0.00,0.000
750.82,26.80,125.00,125.00,0.00,0.00,0.000
751.78,26.80,62.50,125.00,0.00,0.00,0.000
750.43,26.80,125.00,125.00,0.00,0.00,0.000
751.98,27.00,125.00,125.00,0.00,0.00,0.000
751.19,27.00,125.00,125.00,0.00,0.00,0.000
754.16,27.10,125.00,125.00,0.00,0.00,0.000
754.08,27.10,125.00,125.00,0.00,0.00,0.000
754.05,27.20,125.00,125.00,0.00,0.00,0.000
754.04,27.20,125.00,125.00,0.00,0.00,0.000
754.02,27.20,125.00,125.00,0.00,0.00,0.000
754.01,27.30,125.00,125.00,0.00,0.00,0.000
753.98,27.30,125.00,125.00,0.00,0.00,0.000
753.94,27.40,125.00,125.00,0.00,0.00,0.000
754.02,27.50,125.00,125.00,0.00,0.00,0.000
753.99,27.50,125.00,125.00,0.00,0.00,0.000
753.96,27.50,125.00,125.00,0.00,0.00,0.000
754.01,27.50,125.00,125.00,0.00,0.00,0.000
753.90,27.60,125.00,125.00,0.00,0.00,0.000
753.92,27.70,125.00,125.00,0.00,0.00,0.000
753.93,27.70,125.00,125.00,0.00,0.00,0.000
753.85,27.70,125.00,125.00,0.00,0.00,0.000
753.82,27.70,125.00,125.00,0.00,0.00,0.000
753.73,27.60,125.00,125.00,0.00,0.00,0.000
753.71,27.50,125.00,125.00,0.00,0.00,0.000
753.68,27.50,125.00,125.00,0.00,0.00,0.000
753.68,27.50,125.00,125.00,0.00,0.00,0.000
753.66,27.40,125.00,125.00,0.00,0.00,0.000
753.59,27.30,125.00,125.00,0.00,0.00,0.000
753.60,27.20,125.00,125.00,0.00,0.00,0.000
753.61,27.00,125.00,125.00,0.00,0.00,0.000
753.57,27.00,125.00,125.00,0.00,0.00,0.000
753.47,26.90,125.00,125.00,0.00,0.00,0.000
753.35,26.80,125.00,125.00,0.00,0.00,0.000
753.43,26.70,125.00,125.00,0.00,0.00,0.000
753.35,26.50,125.00,125.00,0.00,0.00,0.000
753.26,26.40,125.00,125.00,0.00,0.00,0.000
753.15,26.40,125.00,125.00,0.00,0.00,0.000
753.13,26.30,125.00,125.00,0.00,0.00,0.000
753.11,26.10,125.00,125.00,0.00,0.00,0.000
753.06,26.00,125.00,125.00,0.00,0.00,0.000
753.06,26.00,125.00,125.00,0.00,0.00,0.000
752.95,25.90,125.00,125.00,0.00,0.00,0.000
753.00,25.90,125.00,125.00,0.00,0.00,0.000
753.05,25.80,125.00,125.00,0.00,0.00,0.000
753.00,25.80,125.00,125.00,0.00,0.00,0.000
752.99,25.80,125.00,125.00,0.00,0.00,0.000
753.06,25.70,125.00,125.00,0.00,0.00,0.000
753.13,25.70,125.00,125.00,0.00,0.00,0.000
753.11,25.60,125.00,125.00,0.00,0.00,0.000
753.13,25.60,125.00,125.00,0.00,0.00,0.000
753.10,25.60,125.00,125.00,0.00,0.00,0.000
753.15,25.60,125.00,125.00,0.00,0.00,0.000
753.12,25.60,125.00,125.00,0.00,0.00,0.000
753.06,25.60,125.00,125.00,0.00,0.00,0.000
753.17,25.60,125.00,125.00,0.00,0.00,0.000
753.11,25.60,125.00,125.00,0.00,0.00,0.000
753.14,25.60,125.00,125.00,0.00,0.00,0.000
753.08,25.70,125.00,125.00,0.00,0.00,0.000
753.08,25.80,125.00,125.00,0.00,0.00,0.000
753.04,25.80,62.50,125.00,0.00,0.00,0.000
753.05,25.90,125.00,125.00,0.00,0.00,0.000
752.99,25.90,125.00,125.00,0.00,0.00,0.000
752.93,25.90,62.50,125.00,0.00,0.00,0.000
752.88,25.90,125.00,125.00,0.00,0.00,0.000
752.91,25.90,125.00,125.00,0.00,0.00,0.000
752.78,26.00,125.00,125.00,0.00,0.00,0.000
752.78,26.10,125.00,125.00,0.00,0.00,0.000
752.78,26.20,125.00,125.00,0.00,0.00,0.000
752.71,26.20,125.00,125.00,0.00,0.00,0.000
752.71,26.30,125.00,125.00,0.00,0.00,0.000
752.89,26.40,125.00,125.00,0.00,0.00,0.000
752.87,26.40,125.00,125.00,0.00,0.00,0.000
752.75,26.40,125.00,125.00,0.00,0.00,0.000
752.74,26.50,125.00,125.00,0.00,0.00,0.000
752.71,26.60,125.00,125.00,0.00,0.00,0.000
752.76,26.70,125.00,125.00,0.00,0.00,0.000
752.61,26.70,125.00,125.00,0.00,0.00,0.000
752.53,26.70,125.00,125.00,0.00,0.00,0.000
752.29,26.80,125.00,125.00,0.00,0.00,0.000
752.36,26.70,125.00,125.00,0.00,0.00,0.000
752.18,26.70,125.00,125.00,0.00,0.00,0.000
752.21,26.70,125.00,125.00,0.00,0.00,0.000
752.20,26.70,125.00,125.00,0.00,0.00,0.000
752.16,26.70,125.00,125.00,0.00,0.00,0.000
752.18,26.70,125.00,125.00,0.00,0.00,0.000
752.10,26.70,125.00,125.00,0.00,0.00,0.000
752.06,26.70,125.00,125.00,0.00,0.00,0.000
752.00,26.70,125.00,125.00,0.00,0.00,0.000
751.89,26.60,125.00,125.00,0.00,0.00,0.000
751.93,26.50,125.00,125.00,0.00,0.00,0.000
751.85,26.40,125.00,125.00,0.00,0.00,0.000
751.71,26.30,125.00,125.00,0.00,0.00,0.000
751.68,26.20,125.00,125.00,0.00,0.00,0.000
751.60,26.00,125.00,125.00,0.00,0.00,0.000
751.55,25.80,125.00,125.00,0.00,0.00,0.000
751.47,25.70,125.00,125.00,0.00,0.00,0.000
751.40,25.60,125.00,125.00,0.00,0.00,0.000
751.37,25.60,125.00,125.00,0.00,0.00,0.000
751.35,25.40,125.00,125.00,0.00,0.00,0.000
751.38,25.40,125.00,125.00,0.00,0.00,0.000
751.36,25.30,125.00,125.00,0.00,0.00,0.000
751.30,25.20,125.00,125.00,0.00,0.00,0.000
751.28,25.20,125.00,125.00,0.00,0.00,0.000
751.33,25.10,125.00,125.00,0.00,0.00,0.000
751.28,25.10,125.00,125.00,0.00,0.00,0.000
751.35,25.10,125.00,125.00,0.00,0.00,0.000
751.41,25.10,125.00,125.00,0.00,0.00,0.000
751.46,25.10,62.50,125.00,0.00,0.00,0.000
751.36,25.10,125.00,125.00,0.00,0.00,0.000
751.45,25.20,125.00,125.00,0.00,0.00,0.000
751.56,25.30,62.50,125.00,0.00,0.00,0.000
751.80,25.30,125.00,125.00,0.00,0.00,0.000
751.80,25.30,125.00,125.00,0.00,0.00,0.000
751.79,25.50,125.00,125.00,0.00,0.00,0.000
751.83,25.60,125.00,125.00,0.00,0.00,0.000
751.90,25.70,125.00,125.00,0.00,0.00,0.000
751.85,25.80,125.00,125.00,0.00,0.00,0.000
751.57,25.80,125.00,125.00,0.00,0.00,0.000
751.53,26.00,125.00,125.00,0.00,0.00,0.000
751.53,26.00,125.00,125.00,0.00,0.00,0.000
751.50,26.00,125.00,125.00,0.00,0.00,0.000
751.46,26.10,125.00,125.00,0.00,0.00,0.000
751.57,26.20,125.00,125.00,0.00,0.00,0.000
751.59,26.20,125.00,125.00,0.00,0.00,0.000
751.53,26.20,125.00,125.00,0.00,0.00,0.000
751.46,26.20,125.00,125.00,0.00,0.00,0.000
751.32,26.30,125.00,125.00,0.00,0.00,0.000
751.34,26.30,125.00,125.00,0.00,0.00,0.000
751.18,26.30,125.00,125.00,0.00,0.00,0.000
751.11,26.40,125.00,125.00,0.00,0.00,0.000
751.02,26.40,125.00,125.00,0.00,0.00,0.000
751.06,26.40,125.00,125.00,0.00,0.00,0.000
750.99,26.50,125.00,125.00,0.00,0.00,0.000
750.68,26.60,125.00,125.00,0.00,0.00,0.000
750.96,26.70,125.00,125.00,0.00,0.00,0.000
750.89,26.70,125.00,125.00,0.00,0.00,0.000
750.90,26.80,125.00,125.00,0.00,0.00,0.000
750.83,26.90,125.00,125.00,0.00,0.00,0.000
750.83,26.90,125.00,125.00,0.00,0.00,0.000
750.79,26.90,125.00,125.00,0.00,0.00,0.000
750.65,26.90,125.00,125.00,0.00,0.00,0.000
750.63,26.90,125.00,125.00,0.00,0.00,0.000
750.61,26.80,125.00,125.00,0.00,0.00,0.000
750.65,26.80,125.00,125.00,0.00,0.00,0.000
750.45,26.80,125.00,125.00,0.00,0.00,0.000
750.60,26.80,125.00,125.00,0.00,0.00,0.000
750.49,26.70,125.00,125.00,0.00,0.00,0.000
750.45,26.60,125.00,125.00,0.00,0.00,0.000
750.37,26.40,125.00,125.00,0.00,0.00,0.000
750.36,26.30,125.00,125.00,0.00,0.00,0.000
750.25,26.10,125.00,125.00,0.00,0.00,0.000
750.07,26.00,125.00,125.00,0.00,0.00,0.000
750.07,25.90,125.00,125.00,0.00,0.00,0.000
750.08,25.70,125.00,125.00,0.00,0.00,0.000
750.03,25.60,125.00,125.00,0.00,0.00,0.000
749.97,25.50,125.00,125.00,0.00,0.00,0.000
749.98,25.50,125.00,125.00,0.00,0.00,0.000
749.99,25.30,125.00,125.00,0.00,0.00,0.000
749.99,25.20,125.00,125.00,0.00,0.00,0.000
749.99,25.10,125.00,125.00,0.00,0.00,0.000
749.99,25.10,125.00,125.00,0.00,0.00,0.000
750.03,25.10,125.00,125.00,0.00,0.00,0.000
750.04,25.10,125.00,125.00,0.00,0.00,0.000
750.01,25.00,125.00,125.00,0.00,0.00,0.000
750.05,25.00,125.00,125.00,0.00,0.00,0.000
750.04,25.00,62.50,125.00,0.00,0.00,0.000
750.05,25.10,125.00,125.00,0.00,0.00,0.000
750.04,25.10,125.00,125.00,0.00,0.00,0.000
749.98,25.20,125.00,125.00,0.00,0.00,0.000
749.96,25.10,125.00,125.00,0.00,0.00,0.000
750.03,25.20,125.00,125.00,0.00,0.00,0.000
750.05,25.30,125.00,125.00,0.00,0.00,0.000
750.03,25.30,125.00,125.00,0.00,0.00,0.000
750.08,25.40,125.00,125.00,0.00,0.00,0.000
750.09,25.40,125.00,125.00,0.00,0.00,0.000
749.87,25.50,125.00,125.00,0.00,0.00,0.000
749.92,25.50,125.00,125.00,0.00,0.00,0.000
749.88,25.60,125.00,125.00,0.00,0.00,0.000
749.88,25.60,125.00,125.00,0.00,0.00,0.000
749.97,25.70,125.00,125.00,0.00,0.00,0.000
749.95,25.60,125.00,125.00,0.00,0.00,0.000
749.91,25.70,125.00,125.00,0.00,0.00,0.000
749.81,25.70,125.00,125.00,0.00,0.00,0.000
749.72,25.70,125.00,125.00,0.00,0.00,0.000
749.65,25.80,125.00,125.00,0.00,0.00,0.000
749.65,25.80,125.00,125.00,0.00,0.00,0.000
749.51,25.80,125.00,125.00,0.00,0.00,0.000
749.51,25.80,125.00,125.00,0.00,0.00,0.000
749.51,25.80,125.00,125.00,0.00,0.00,0.000
749.49,25.90,125.00,125.00,0.00,0.00,0.000
749.52,25.90,125.00,125.00,0.00,0.00,0.000
749.41,25.90,125.00,125.00,0.00,0.00,0.000
749.32,26.00,125.00,125.00,0.00,0.00,0.000
749.36,26.20,125.00,125.00,0.00,0.00,0.000
749.32,26.10,125.00,125.00,0.00,0.00,0.000
749.21,26.30,125.00,125.00,0.00,0.00,0.000
749.11,26.30,125.00,125.00,0.00,0.00,0.000
749.30,26.40,125.00,125.00,0.00,0.00,0.000
749.15,26.30,125.00,125.00,0.00,0.00,0.000
749.25,26.30,125.00,125.00,0.00,0.00,0.000
749.18,26.30,125.00,125.00,0.00,0.00,0.000
749.13,26.20,125.00,125.00,0.00,0.00,0.000
748.84,26.20,125.00,125.00,0.00,0.00,0.000
748.83,26.10,125.00,125.00,0.00,0.00,0.000
748.74,26.10,125.00,125.00,0.00,0.00,0.000
748.76,26.00,125.00,125.00,0.00,0.00,0.000
748.61,25.90,125.00,125.00,0.00,0.00,0.000
748.60,25.90,125.00,125.00,0.00,0.00,0.000
748.49,25.80,125.00,125.00,0.00,0.00,0.000
748.44,25.80,125.00,125.00,0.00,0.00,0.000
748.49,25.70,125.00,125.00,0.00,0.00,0.000
748.45,25.60,125.00,125.00,0.00,0.00,0.000
748.33,25.50,125.00,125.00,0.00,0.00,0.000
748.53,25.40,125.00,125.00,0.00,0.00,0.000
748.44,25.30,125.00,125.00,0.00,0.00,0.000
748.48,25.30,125.00,125.00,0.00,0.00,0.000
748.50,25.20,125.00,125.00,0.00,0.00,0.000
748.45,25.20,125.00,125.00,0.00,0.00,0.000
748.54,25.20,125.00,125.00,0.00,0.00,0.000
